file_name,trend,seasonal,stationary,pattern,shifting,dataset_name,train_lens,time_steps,if_univariate,size,type_value,total_len,train/total
NAB_data_Traffic_6.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,112,1126,TRUE,large,Shapelet,,
NAB_data_CloudWatch_15.csv,FALSE,FALSE,TRUE,FALSE,TRUE,NAB,124,1242,TRUE,large,Shapelet,,
NAB_data_Exchange_3.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,153,1537,TRUE,large,Shapelet,,
NAB_data_Exchange_4.csv,FALSE,FALSE,FALSE,FALSE,FALSE,NAB,153,1537,TRUE,large,Shapelet,,
NAB_data_Exchange_2.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,162,1623,TRUE,large,Shapelet,,
NAB_data_Exchange_5.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,164,1642,TRUE,large,Shapelet,,
NAB_data_Exchange_6.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,164,1642,TRUE,large,Shapelet,,
NAB_data_KnownCause_6.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,188,1881,TRUE,large,Shapelet,,
NAB_data_Traffic_2.csv,FALSE,FALSE,TRUE,FALSE,TRUE,NAB,216,2161,TRUE,large,Shapelet,,
Yahoo_A1real_62_data.csv,FALSE,FALSE,FALSE,FALSE,FALSE,YAHOO,222,741,TRUE,large,mix,,
Yahoo_A1real_54_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,222,741,TRUE,large,Shapelet,,
NAB_data_Traffic_3.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,237,2379,TRUE,large,Shapelet,,
NAB_data_Traffic_1.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,249,2499,TRUE,large,Shapelet,,
NAB_data_Traffic_4.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,249,2499,TRUE,large,Shapelet,,
NAB_data_Traffic_5.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,249,2499,TRUE,large,Shapelet,,
NAB_data_Traffic_7.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,249,2494,TRUE,large,Shapelet,,
NAB_data_art1_4.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Seasonal,,
NAB_data_art1_0.csv,FALSE,TRUE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_art1_1.csv,FALSE,TRUE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_art1_2.csv,FALSE,TRUE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_art1_3.csv,FALSE,TRUE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_art1_5.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_1.csv,FALSE,FALSE,TRUE,FALSE,TRUE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_11.csv,FALSE,FALSE,TRUE,FALSE,TRUE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_13.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_16.csv,TRUE,FALSE,FALSE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_17.csv,FALSE,FALSE,FALSE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_2.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_3.csv,FALSE,FALSE,FALSE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_4.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_5.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_CloudWatch_6.csv,TRUE,FALSE,FALSE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
NAB_data_KnownCause_3.csv,FALSE,FALSE,TRUE,FALSE,FALSE,NAB,403,4031,TRUE,large,Shapelet,,
periodic_data_15_from2020-01-07to2020-01-21_7519.csv,FALSE,FALSE,TRUE,FALSE,FALSE,GAIA,409,4093,TRUE,large,mix,,
periodic_data_24_from2020-01-07to2020-01-21_7513.csv,FALSE,FALSE,TRUE,TRUE,FALSE,GAIA,409,4092,TRUE,large,Global,,
partially_stationary_data_50_from2020-04-09to2020-04-23_7586.csv,FALSE,FALSE,TRUE,FALSE,FALSE,GAIA,413,4137,TRUE,large,Shapelet,,
Yahoo_A1real_4_data.csv,FALSE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1423,TRUE,large,Global,,
Yahoo_A1real_67_data.csv,FALSE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1423,TRUE,large,Shapelet,,
Yahoo_A1real_7_data.csv,TRUE,FALSE,FALSE,FALSE,TRUE,YAHOO,426,1423,TRUE,large,Trend,,
Yahoo_A1real_20_data.csv,TRUE,FALSE,FALSE,FALSE,TRUE,YAHOO,426,1422,TRUE,large,Shapelet,,
Yahoo_A2synthetic_12_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Contextual,,
Yahoo_A2synthetic_15_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_18_data.csv,TRUE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_21_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_24_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_27_data.csv,TRUE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_3_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_30_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_33_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_36_data.csv,FALSE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_39_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_42_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_45_data.csv,FALSE,FALSE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_48_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_51_data.csv,TRUE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_54_data.csv,FALSE,FALSE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_57_data.csv,FALSE,FALSE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_6_data.csv,TRUE,TRUE,TRUE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
Yahoo_A2synthetic_60_data.csv,TRUE,TRUE,FALSE,FALSE,FALSE,YAHOO,426,1421,TRUE,large,Global,,
